Ano;Nível;Unidade da Federação;Total;Sem instrução e fundamental incompleto;Fundamental completo e médio incompleto;Médio completo e superior incompleto;Superior completo;Não determinado
2010;UF;Rondônia;1294956;737321;215762;259212;73403;9258
2010;UF;Acre;573909;331067;91166;113580;33550;4547
2010;UF;Amazonas;2728336;1464063;441933;654326;144851;23162
2010;UF;Roraima;353679;175598;57617;93768;23633;3062
2010;UF;Pará;6062304;3596735;1044335;1146771;247457;27006
2010;UF;Amapá;526975;250433;92701;143652;36636;3553
2010;UF;Tocantins;1129714;601762;183773;258079;79952;6149
2010;UF;Maranhão;5264736;3213208;842384;994385;189918;24842
2010;UF;Piauí;2597953;1626674;392249;437681;132757;8592
2010;UF;Ceará;7111302;3971030;1240252;1511375;352253;36393
2010;UF;Rio Grande do Norte;2676308;1504033;410456;592671;158057;11092
2010;UF;Paraíba;3161232;1945235;435977;588196;180958;10867
2010;UF;Pernambuco;7373671;4263137;1107663;1543681;418856;40335
2010;UF;Alagoas;2547711;1641579;359183;417394;118733;10822
2010;UF;Sergipe;1720016;1013791;253801;343494;102394;6536
2010;UF;Bahia;11764109;6936201;1722746;2504833;532492;67837
2010;UF;Minas Gerais;16890981;8901146;2884122;3663701;1342285;99727
2010;UF;Espírito Santo;3005851;1488062;516573;734310;250877;16029
2010;UF;Rio de Janeiro;13908173;5775120;2636316;3908693;1516460;71583
2010;UF;São Paulo;35723254;14974003;6705105;9577012;4171221;295914
2010;UF;Paraná;8962586;4369062;1623215;2054939;869660;45710
2010;UF;Santa Catarina;5404884;2459577;1054604;1341571;524209;24923
2010;UF;Rio Grande do Sul;9327696;4493631;1768936;2214879;808062;42187
2010;UF;Mato Grosso do Sul;2059723;1060298;354624;453588;182633;8579
2010;UF;Mato Grosso;2537660;1305363;452185;558692;195040;26380
2010;UF;Goiás;5092674;2527434;924234;1213946;394491;32568
2010;UF;Distrito Federal;2180903;761013;366883;656089;382917;14000
