UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
AC;Branca;14;0,3784;2025-05-18 03:30:13
AC;Parda;21;0,5676;2025-05-18 03:30:13
AC;Preta;2;0,0541;2025-05-18 03:30:13
AL;Branca;30;0,7692;2025-05-18 03:30:13
AL;Parda;9;0,2308;2025-05-18 03:30:13
AM;Branca;16;0,4571;2025-05-18 03:30:13
AM;Parda;18;0,5143;2025-05-18 03:30:13
AM;Preta;1;0,0286;2025-05-18 03:30:13
AP;Branca;20;0,5405;2025-05-18 03:30:13
AP;Indígena;1;0,027;2025-05-18 03:30:13
AP;Parda;15;0,4054;2025-05-18 03:30:13
AP;Preta;1;0,027;2025-05-18 03:30:13
BA;Branca;44;0,419;2025-05-18 03:30:13
BA;Parda;49;0,4667;2025-05-18 03:30:13
BA;Preta;12;0,1143;2025-05-18 03:30:13
CE;Branca;50;0,6849;2025-05-18 03:30:13
CE;Parda;21;0,2877;2025-05-18 03:30:13
CE;Preta;2;0,0274;2025-05-18 03:30:13
DF;Branca;20;0,5405;2025-05-18 03:30:13
DF;Não Informado;1;0,027;2025-05-18 03:30:13
DF;Parda;13;0,3514;2025-05-18 03:30:13
DF;Preta;3;0,0811;2025-05-18 03:30:13
ES;Branca;24;0,5581;2025-05-18 03:30:13
ES;Indígena;1;0,0233;2025-05-18 03:30:13
ES;Parda;15;0,3488;2025-05-18 03:30:13
ES;Preta;3;0,0698;2025-05-18 03:30:13
GO;Branca;44;0,6984;2025-05-18 03:30:13
GO;Parda;17;0,2698;2025-05-18 03:30:13
GO;Preta;2;0,0317;2025-05-18 03:30:13
MA;Branca;29;0,4462;2025-05-18 03:30:13
MA;Parda;33;0,5077;2025-05-18 03:30:13
MA;Preta;3;0,0462;2025-05-18 03:30:13
MG;Amarela;1;0,0074;2025-05-18 03:30:13
MG;Branca;99;0,7333;2025-05-18 03:30:13
MG;Indígena;2;0,0148;2025-05-18 03:30:13
MG;Parda;26;0,1926;2025-05-18 03:30:13
MG;Preta;7;0,0519;2025-05-18 03:30:13
MS;Branca;31;0,8857;2025-05-18 03:30:13
MS;Parda;3;0,0857;2025-05-18 03:30:13
MS;Preta;1;0,0286;2025-05-18 03:30:13
MT;Branca;27;0,7297;2025-05-18 03:30:13
MT;Parda;9;0,2432;2025-05-18 03:30:13
MT;Preta;1;0,027;2025-05-18 03:30:13
PA;Branca;30;0,4762;2025-05-18 03:30:13
PA;Parda;28;0,4444;2025-05-18 03:30:13
PA;Preta;5;0,0794;2025-05-18 03:30:13
PB;Branca;35;0,6863;2025-05-18 03:30:13
PB;Parda;14;0,2745;2025-05-18 03:30:13
PB;Preta;2;0,0392;2025-05-18 03:30:13
PE;Branca;57;0,7403;2025-05-18 03:30:13
PE;Parda;15;0,1948;2025-05-18 03:30:13
PE;Preta;5;0,0649;2025-05-18 03:30:13
PI;Branca;21;0,4667;2025-05-18 03:30:13
PI;Indígena;1;0,0222;2025-05-18 03:30:13
PI;Parda;21;0,4667;2025-05-18 03:30:13
PI;Preta;2;0,0444;2025-05-18 03:30:13
PR;Amarela;1;0,0112;2025-05-18 03:30:13
PR;Branca;81;0,9101;2025-05-18 03:30:13
PR;Parda;3;0,0337;2025-05-18 03:30:13
PR;Preta;4;0,0449;2025-05-18 03:30:13
RJ;Amarela;1;0,0083;2025-05-18 03:30:13
RJ;Branca;81;0,6694;2025-05-18 03:30:13
RJ;Indígena;1;0,0083;2025-05-18 03:30:13
RJ;Não Informado;1;0,0083;2025-05-18 03:30:13
RJ;Parda;22;0,1818;2025-05-18 03:30:13
RJ;Preta;15;0,124;2025-05-18 03:30:13
RN;Branca;25;0,6757;2025-05-18 03:30:13
RN;Parda;11;0,2973;2025-05-18 03:30:13
RN;Preta;1;0,027;2025-05-18 03:30:13
RO;Branca;20;0,5714;2025-05-18 03:30:13
RO;Parda;14;0,4;2025-05-18 03:30:13
RO;Preta;1;0,0286;2025-05-18 03:30:13
RR;Branca;16;0,4324;2025-05-18 03:30:13
RR;Parda;20;0,5405;2025-05-18 03:30:13
RR;Preta;1;0,027;2025-05-18 03:30:13
RS;Branca;80;0,8989;2025-05-18 03:30:13
RS;Indígena;1;0,0112;2025-05-18 03:30:13
RS;Parda;3;0,0337;2025-05-18 03:30:13
RS;Preta;5;0,0562;2025-05-18 03:30:13
SC;Branca;59;1;2025-05-18 03:30:13
SE;Branca;20;0,5714;2025-05-18 03:30:13
SE;Não Informado;3;0,0857;2025-05-18 03:30:13
SE;Parda;12;0,3429;2025-05-18 03:30:13
SP;Amarela;1;0,006;2025-05-18 03:30:13
SP;Branca;138;0,8263;2025-05-18 03:30:13
SP;Indígena;2;0,012;2025-05-18 03:30:13
SP;Parda;14;0,0838;2025-05-18 03:30:13
SP;Preta;12;0,0719;2025-05-18 03:30:13
TO;Branca;13;0,3514;2025-05-18 03:30:13
TO;Parda;23;0,6216;2025-05-18 03:30:13
TO;Preta;1;0,027;2025-05-18 03:30:13
